Región,Palabra clave,Tipo de coincidencia objetivo,Código de estado,Estado,Puja recomendada (baja)(EUR),Puja recomendada (mediana)(EUR),Puja recomendada (alta)(EUR),Puja (EUR),Impresiones,Porcentaje de impresiones del top de búsquedas,Clics,CTR,Coste total (EUR),CPC (EUR),Compras,Ventas (EUR),ACOS,ROAS
EN PAUSA,soporte coche compatible con todos los móviles,Frase,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte coche compatible con todos los móviles,Exacta,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte coche para teléfono móvil,Frase,CAMPAIGN_PAUSED,En pausa,0.18,0.24,0.3,0.44,17,0,2,"0,1176",1.3,0.65,0,0,0,0
ACTIVADA,soporte coche para teléfono móvil,Exacta,CAMPAIGN_PAUSED,En pausa,0.22,0.3,0.38,0.53,1014,"27,89%",22,"0,0217",17.4,0.79,4,45.97,"0,3785",2.6419540229885063
EN PAUSA,soporte coche rejilla aire,Frase,CAMPAIGN_PAUSED,En pausa,,,,0.14,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte coche rejilla aire,Exacta,CAMPAIGN_PAUSED,En pausa,,,,0.13,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte de móvil para coche,Frase,CAMPAIGN_PAUSED,En pausa,0.93,1.24,1.55,0.72,156,0,3,"0,0192",2.89,0.96,0,0,0,0
EN PAUSA,soporte de móvil para coche,Exacta,CAMPAIGN_PAUSED,En pausa,0.95,1.27,1.59,0.92,490,0,3,"0,0061",5.1,1.7,0,0,0,0
EN PAUSA,soporte de móvil por gravedad,Frase,CAMPAIGN_PAUSED,En pausa,0.15,0.2,0.25,0.56,108,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte de móvil por gravedad,Exacta,CAMPAIGN_PAUSED,En pausa,0.07,0.09,0.11,0.52,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte móvil automático coche,Frase,CAMPAIGN_PAUSED,En pausa,,,,0.8,9,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte móvil coche con pinza,Exacta,CAMPAIGN_PAUSED,En pausa,0.26,0.35,0.44,0.8,949,0,5,"0,0053",5.58,1.12,0,0,0,0
EN PAUSA,soporte móvil coche rejilla,Frase,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,0.37,198,0,2,"0,0101",0.89,0.45,0,0,0,0
EN PAUSA,soporte móvil coche rejilla,Exacta,CAMPAIGN_PAUSED,En pausa,0.26,0.35,0.44,0.47,190,0,2,"0,0105",1.37,0.69,0,0,0,0
ACTIVADA,soporte móvil con pinza para coche,Frase,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,0.4,17,"35,71%",0,0,0,0,0,0,0,0
